"ordre","code","nom","micro_competence_reference","lien","description","reference"
"1","UA.201.11","De la maquette au dictionnaire de données","DMB-D.201.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-201-11/","Analyser une maquette afin de repérer les informations affichées ou saisies, d’identifier les objets métier concernés et de distinguer les principales données nécessaires au fonctionnement de la fonctionnalité. Structurer ensuite ces données dans un dictionnaire de données en précisant, pour chaque donnée, son nom, sa signification, son type, son format et ses principales caractéristiques.","DMB-UA.201.11"
"1","UA.224.11","Construire une interface interactive","DMB-D.224.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-224-11/","À rédiger...","DMB-UA.224.11"
"1","UA.251.11","Organiser le travail d’une fonctionnalité","DMB-D.251.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-251-11/","À rédiger...","DMB-UA.251.11"
"1","UA.201.21","Apprendre les techniques algorithmiques","DMB-D.201.2","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-201-21/","Découvrir et pratiquer différentes techniques algorithmiques à partir de problèmes simples. Construire progressivement des traitements utilisant les variables, les structures de contrôle, les tableaux, les parcours, la recherche, le tri et la combinaison de plusieurs traitements. Tester les traitements et vérifier que les résultats obtenus sont conformes aux résultats attendus.","DMB-UA.201.21"
"1","UA.201.31","Découper une réalisation en tâches","DMB-D.201.3","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-201-31/","À partir d’une fonctionnalité Web à réaliser, identifier les principales étapes du travail, les décomposer en tâches suffisamment précises et indépendantes afin de préparer leur réalisation et leur planification.","DMB-UA.201.31"
"1","UA.223.11","Organiser l'application en couches","DMB-D.223.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-223-11/","À rédiger...","DMB-UA.223.11"
"1","UA.211.11","Formaliser une fonctionnalité","DMB-D.211.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-211-11/","À rédiger...","DMB-UA.211.11"
"1","UA.212.11","Traduire le MLD en modèle objet","DMB-D.212.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-212-11/","À rédiger...","DMB-UA.212.11"
"1","UA.213.11","Structurer l’application en composants","DMB-D.213.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-213-11/","À rédiger...","DMB-UA.213.11"
"1","UA.221.11","Construire une fonctionnalité avec des objets","DMB-D.221.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-221-11/","À rédiger...","DMB-UA.221.11"
"1","UA.222.11","Répartir les responsabilités entre les classes","DMB-D.222.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-222-11/","À rédiger...","DMB-UA.222.11"
"1","UA.225.11","Construire l’interface avec Tailwind CSS","DMB-D.225.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-225-11/","À rédiger...","DMB-UA.225.11"
"2","UA.201.32","Organiser les tâches selon le temps disponible","DMB-D.201.3","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-201-32/","À partir des tâches identifiées pour une réalisation, déterminer leur ordre d’exécution, tenir compte des dépendances entre elles et répartir le travail dans le temps disponible afin de construire une organisation réaliste de la réalisation.","DMB-UA.201.32"
"2","UA.201.12","Analyser les données et identifier les entités","DMB-D.201.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-201-12/","À partir d’une maquette, du besoin et du dictionnaire de données, analyser les relations entre les informations afin d’identifier les données déterminantes et dépendantes, puis regrouper les données décrivant un même objet métier en entités et déterminer leurs propriétés et leurs identifiants afin de préparer la construction du MCD.","DMB-UA.201.12"
"2","UA.224.12","Gérer les états et les retours de l’interface","DMB-D.224.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-224-12/","À rédiger...","DMB-UA.224.12"
"2","UA.225.12","Adapter et enrichir l’interface","DMB-D.225.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-225-12/","À rédiger...","DMB-UA.225.12"
"2","UA.221.12","Faire collaborer plusieurs objets","DMB-D.221.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-221-12/","À rédiger...","DMB-UA.221.12"
"2","UA.251.12","Suivre l’avancement d’une fonctionnalité","DMB-D.251.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-251-12/","À rédiger...","DMB-UA.251.12"
"3","UA.225.13","Harmoniser l’interface avec Tailwind","DMB-D.225.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-225-13/","À rédiger...","DMB-UA.225.13"
"3","UA.201.13","Construire le MCD","DMB-D.201.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-201-13/","À partir de la maquette, du dictionnaire de données, des dépendances fonctionnelles, des entités et de leurs propriétés, analyser les relations entre les objets métier afin d’identifier les associations et leurs cardinalités, puis construire le MCD complet représentant le besoin.","DMB-UA.201.13"
"3","UA.221.13","Programmer avec des abstractions","DMB-D.221.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-221-13/","À rédiger...","DMB-UA.221.13"
"3","UA.224.13","Connecter l’interface à une API structurée","DMB-D.224.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-224-13/","À rédiger...","DMB-UA.224.13"
"3","UA.251.13","Finaliser et valider une fonctionnalité","DMB-D.251.1","https://solicode-web-mobile.github.io/autoformations-web/uas/ua-251-13/","À rédiger...","DMB-UA.251.13"
