"name","hex","reference"
"primary","#007bff","primary"
"secondary","#6c757d","secondary"
"success","#28a745","success"
"info","#17a2b8","info"
"warning","#ffc107","warning"
"danger","#dc3545","danger"
"light","#f8f9fa","light"
"dark","#343a40","dark"
"indigo","#6610f2","indigo"
"purple","#6f42c1","purple"
"pink","#e83e8c","pink"
"red","#ff0000","red"
"orange","#fd7e14","orange"
"yellow","#ffc107","yellow"
"green","#28a745","green"
"teal","#20c997","teal"
"cyan","#17a2b8","cyan"
"white","#ffffff","white"
"gray","#6c757d","gray"
"gray-dark","#343a40","gray-dark"
"blue","#007bff","blue"
