name,slug
Frontend Development,frontend-development
Backend Development,backend-development
Fullstack Development,fullstack-development
DevOps,devops
Data Science,data-science
Machine Learning,machine-learning
Cybersecurity,cybersecurity
Cloud Computing,cloud-computing
Mobile Development,mobile-development
Game Development,game-development
UI/UX Design,ui-ux-design
Blockchain Development,blockchain-development
Artificial Intelligence,artificial-intelligence
Database Management,database-management
API Development,api-development
Testing and QA,testing-and-qa
E-commerce Development,ecommerce-development
Big Data,big-data
IoT Development,iot-development
Embedded Systems,embedded-systems
AR/VR Development,ar-vr-development
Software Engineering,software-engineering
IT Support,it-support
Desktop Application Development,desktop-application-development
Web Design,web-design
Open Source Development,open-source-development
Performance Optimization,performance-optimization
Networking,networking
Robotics,robotics
System Administration,system-administration
Tech Writing,tech-writing
