nom,description,category_technology_id
nom 1,description 1,category_technology_id 1
nom 2,description 2,category_technology_id 2
nom 3,description 3,category_technology_id 3
nom 4,description 4,category_technology_id 4
nom 5,description 5,category_technology_id 5
nom 6,description 6,category_technology_id 6
nom 7,description 7,category_technology_id 7
nom 8,description 8,category_technology_id 8
nom 9,description 9,category_technology_id 9
nom 10,description 10,category_technology_id 10
nom 11,description 11,category_technology_id 11
nom 12,description 12,category_technology_id 12
nom 13,description 13,category_technology_id 13
nom 14,description 14,category_technology_id 14
nom 15,description 15,category_technology_id 15
nom 16,description 16,category_technology_id 16
nom 17,description 17,category_technology_id 17
nom 18,description 18,category_technology_id 18
nom 19,description 19,category_technology_id 19
nom 20,description 20,category_technology_id 20
