nom,description
nom,description
Code,"Code source d'un projet, généralement hébergé sur une plateforme comme GitHub."
Présentation,"Diapositives de présentation, souvent créées avec PowerPoint ou d'autres outils."
Rapport,"Rapport détaillé contenant une analyse ou une documentation du projet."
Documentation,"Manuel d'utilisation ou documentation technique pour le projet."
Prototype,"Version initiale ou maquette fonctionnelle du projet."
Vidéo,"Vidéo démonstrative ou tutorielle expliquant le projet."
Diagramme,"Diagrammes UML ou autres visualisations structurelles du projet."
Test,"Rapport de test ou suite de tests pour valider le fonctionnement du projet."
