name,code,groupe,type,scope,description,default_value
label,label,general,String,field,Texte visible associé à cet attribut dans une interface utilisateur,
description,description,general,String,field,Une explication détaillée ou un contexte pour cet attribut,
placeholder,placeholder,general,String,field,Texte d'indication affiché lorsque l'attribut est vide,
readOnly,readOnly,general,Boolean,field,Indique si l'attribut est modifiable ou en lecture seule,false
hidden,hidden,general,Boolean,field,Indique si l'attribut doit être masqué dans l'interface utilisateur,false
defaultValue,defaultValue,general,String,field,Valeur par défaut de l'attribut,
required,required,general,Boolean,field,Spécifie si l'attribut est obligatoire,false
tooltip,tooltip,general,String,field,Texte d'aide affiché en survol de l'attribut,
toString,toString,general,Boolean,field,Indique si cet attribut doit être inclus dans la méthode ToString,false
displayField,displayField,general,Boolean,field,Indique si le champ doit être utilisé comme clé d'affichage,false
enum,enum,general,String,field,Spécifie les options autorisées pour cet attribut,
inputType,inputType,forms,String,field,Type d'entrée (texte, mot de passe, email, etc.),
validation,validation,forms,Json,field,Configuration des règles de validation pour cet attribut,
editor,editor,forms,Json,field,Configuration de l'éditeur incluant largeur et hauteur,
formatting,formatting,forms,Json,field,Options de mise en forme disponibles,bold,italic,underline,links
maxLength,maxLength,forms,Integer,field,Longueur maximale autorisée pour cet attribut,
minLength,minLength,forms,Integer,field,Longueur minimale requise pour cet attribut,
accept,accept,forms,String,field,Types de fichiers acceptés (pour les champs fichier),
options,options,forms,Json,field,Liste des options possibles pour un champ de sélection,
multiSelect,multiSelect,forms,Boolean,field,Indique si plusieurs options peuvent être sélectionnées,false
editHasMany,editHasMany,forms,Boolean,field,Indique que l'attribut HasMany doit être édité dans le formulaire Edit,false
sortable,sortable,tables,Boolean,field,Indique si la colonne est triable,false
filterable,filterable,tables,Boolean,field,Indique si des filtres peuvent être appliqués sur la colonne,false
displayInTable,displayInTable,tables,Boolean,field,Indique si l'attribut doit être affiché dans une table,true
columnWidth,columnWidth,tables,Integer,field,Largeur de la colonne dans une table,
format,format,tables,String,field,Formatage de l'attribut dans une table (monétaire, date, etc.),
icon,icon,tables,String,field,Icône affichée dans une table pour cet attribut,
relationStats,relationStats,tables,Json,field,Statistiques ou informations sur les relations (modèle, relation, icône),
relationType,relationType,relations,String,field,Type de la relation (exemple : one-to-many),
throughTable,throughTable,relations,String,field,Nom de la table pivot pour la relation,
targetTable,targetTable,relations,String,field,Nom de la table cible pour la relation,
targetModelName,targetModelName,relations,String,field,Nom du modèle cible pour la relation,
foreignKey,foreignKey,relations,String,field,Clé étrangère associée à la relation,
alignment,alignment,display,String,field,Alignement du contenu (gauche, centre, droite),
color,color,display,String,field,Couleur associée à cet attribut,
displayOrder,displayOrder,display,Integer,field,Ordre d'affichage des attributs,
group,group,display,String,field,Groupe auquel appartient cet attribut,
badge,badge,display,Boolean,field,Indique si cet attribut doit être affiché sous forme de badge,false
badgeStyle,badgeStyle,display,String,field,Style du badge associé à cet attribut,
imageThumbnail,imageThumbnail,display,Boolean,field,Indique si l'attribut doit afficher une miniature d'image,false
creationOrder,creationOrder,model,Integer,model,Indique l'ordre de création de la table,0
