nom,description,is_editable_only_by_formateur,formateur_id,sys_color_id
nom 1,description 1,is_editable_only_by_formateur 1,formateur_id 1,sys_color_id 1
nom 2,description 2,is_editable_only_by_formateur 2,formateur_id 2,sys_color_id 2
nom 3,description 3,is_editable_only_by_formateur 3,formateur_id 3,sys_color_id 3
nom 4,description 4,is_editable_only_by_formateur 4,formateur_id 4,sys_color_id 4
nom 5,description 5,is_editable_only_by_formateur 5,formateur_id 5,sys_color_id 5
nom 6,description 6,is_editable_only_by_formateur 6,formateur_id 6,sys_color_id 6
nom 7,description 7,is_editable_only_by_formateur 7,formateur_id 7,sys_color_id 7
nom 8,description 8,is_editable_only_by_formateur 8,formateur_id 8,sys_color_id 8
nom 9,description 9,is_editable_only_by_formateur 9,formateur_id 9,sys_color_id 9
nom 10,description 10,is_editable_only_by_formateur 10,formateur_id 10,sys_color_id 10
nom 11,description 11,is_editable_only_by_formateur 11,formateur_id 11,sys_color_id 11
nom 12,description 12,is_editable_only_by_formateur 12,formateur_id 12,sys_color_id 12
nom 13,description 13,is_editable_only_by_formateur 13,formateur_id 13,sys_color_id 13
nom 14,description 14,is_editable_only_by_formateur 14,formateur_id 14,sys_color_id 14
nom 15,description 15,is_editable_only_by_formateur 15,formateur_id 15,sys_color_id 15
nom 16,description 16,is_editable_only_by_formateur 16,formateur_id 16,sys_color_id 16
nom 17,description 17,is_editable_only_by_formateur 17,formateur_id 17,sys_color_id 17
nom 18,description 18,is_editable_only_by_formateur 18,formateur_id 18,sys_color_id 18
nom 19,description 19,is_editable_only_by_formateur 19,formateur_id 19,sys_color_id 19
nom 20,description 20,is_editable_only_by_formateur 20,formateur_id 20,sys_color_id 20
