"ordre","reference","description","unite_apprentissage_reference","session_formation_reference"
"44","DWB-T.1.1-sas-logique-decouverte-pedagogique","","DWB-T.1.1","sas-logique-decouverte-pedagogique"
"41","DWB-2.1.1-html-fondamentaux","","DWB-2.1.1","html-fondamentaux"
"42","DWB-2.1.2-html-fondamentaux","","DWB-2.1.2","html-fondamentaux"
"43","DWB-2.1.3-html-fondamentaux","","DWB-2.1.3","html-fondamentaux"
"36","DWB-2.2.1-css-mise-en-forme-layout","","DWB-2.2.1","css-mise-en-forme-layout"
"37","DWB-2.2.2-css-mise-en-forme-layout","","DWB-2.2.2","css-mise-en-forme-layout"
"38","DWB-2.2.3-css-mise-en-forme-layout","","DWB-2.2.3","css-mise-en-forme-layout"
"39","DWB-2.2.4-css-mise-en-forme-layout","","DWB-2.2.4","css-mise-en-forme-layout"
"40","DWB-2.2.5-css-mise-en-forme-layout","","DWB-2.2.5","css-mise-en-forme-layout"
"34","DWB-3.1.1-javascript-premiers-pas","","DWB-3.1.1","javascript-premiers-pas"
"35","DWB-3.1.2-javascript-premiers-pas","","DWB-3.1.2","javascript-premiers-pas"
"32","DWB-3.1.3-javascript-dom-evenements","","DWB-3.1.3","javascript-dom-evenements"
"33","DWB-3.1.4-javascript-dom-evenements","","DWB-3.1.4","javascript-dom-evenements"
"28","DWB-3.2.1-javascript-api-donnees","","DWB-3.2.1","javascript-api-donnees"
"29","DWB-3.2.2-javascript-api-donnees","","DWB-3.2.2","javascript-api-donnees"
"30","DWB-3.2.3-javascript-api-donnees","","DWB-3.2.3","javascript-api-donnees"
"31","DWB-3.2.4-javascript-api-donnees","","DWB-3.2.4","javascript-api-donnees"
"24","DWB-T.2.1-git-collaboration","","DWB-T.2.1","git-collaboration"
"25","DWB-T.3.1-git-collaboration","","DWB-T.3.1","git-collaboration"
"26","DWB-T.3.2-git-collaboration","","DWB-T.3.2","git-collaboration"
"27","DWB-T.3.3-git-collaboration","","DWB-T.3.3","git-collaboration"
"22","DWB-5.1.1-base-de-donnees-modelisation-sql","","DWB-5.1.1","base-de-donnees-modelisation-sql"
"23","DWB-5.1.2-base-de-donnees-modelisation-sql","","DWB-5.1.2","base-de-donnees-modelisation-sql"
"20","DWB-5.2.1-sql-requetes-manipulation-des-donnees","","DWB-5.2.1","sql-requetes-manipulation-des-donnees"
"21","DWB-5.2.2-sql-requetes-manipulation-des-donnees","","DWB-5.2.2","sql-requetes-manipulation-des-donnees"
"16","DWB-1.1.1-uxui-maquettage","","DWB-1.1.1","uxui-maquettage"
"17","DWB-1.1.2-uxui-maquettage","","DWB-1.1.2","uxui-maquettage"
"18","DWB-1.2.1-uxui-maquettage","","DWB-1.2.1","uxui-maquettage"
"19","DWB-1.2.2-uxui-maquettage","","DWB-1.2.2","uxui-maquettage"
"14","DWB-7.2.1-php-formulaires-navigation","","DWB-7.2.1","php-formulaires-navigation"
"15","DWB-7.2.2-php-formulaires-navigation","","DWB-7.2.2","php-formulaires-navigation"
"9","DWB-6.1.1-poo-acces-aux-donnees-avec-php","","DWB-6.1.1","poo-acces-aux-donnees-avec-php"
"10","DWB-6.1.2-poo-acces-aux-donnees-avec-php","","DWB-6.1.2","poo-acces-aux-donnees-avec-php"
"11","DWB-6.1.3-poo-acces-aux-donnees-avec-php","","DWB-6.1.3","poo-acces-aux-donnees-avec-php"
"12","DWB-7.3.1-poo-acces-aux-donnees-avec-php","","DWB-7.3.1","poo-acces-aux-donnees-avec-php"
"13","DWB-7.3.2-poo-acces-aux-donnees-avec-php","","DWB-7.3.2","poo-acces-aux-donnees-avec-php"
"7","DWB-4.1.1-cms-wordpress","","DWB-4.1.1","cms-wordpress"
"8","DWB-4.1.2-cms-wordpress","","DWB-4.1.2","cms-wordpress"
"4","DWB-1.2.2-blog-maquette-structure-html","","DWB-1.2.2","blog-maquette-structure-html"
"5","DWB-2.1.3-blog-maquette-structure-html","","DWB-2.1.3","blog-maquette-structure-html"
"6","DWB-2.2.5-blog-maquette-structure-html","","DWB-2.2.5","blog-maquette-structure-html"
"1","DWB-6.1.3-blog-integration-frontback","","DWB-6.1.3","blog-integration-frontback"
"2","DWB-7.2.1-blog-integration-frontback","","DWB-7.2.1","blog-integration-frontback"
"3","DWB-7.2.2-blog-integration-frontback","","DWB-7.2.2","blog-integration-frontback"
