"ordre","titre","code","thematique","filiere_reference","objectifs_pedagogique","titre_prototype","description_prototype","contraintes_prototype","titre_projet","description_projet","contraintes_projet","remarques","date_debut","date_fin","jour_feries_vacances","reference","annee_formation_reference"
"19","SAS & Logique + Découverte pédagogique","S1","SAS & Logique + Découverte pédagogique","DWB","Comprendre la pédagogie active, initier la logique JS (variables, conditions, boucles), découvrir Git &amp; GitHub, et réaliser un premier mini-projet en console.&nbsp;","Décompteur de compétences Solicode","Script JS parcourant un tableau de compétences et comptant les occurrences d'un code choisi, en console.","JavaScript en console uniquement, dépôt GitHub.","Jeu de mémorisation du programme Solicode","Jeu éducatif en JS console pour mémoriser les 8 compétences (C1 à C8).","Code uniquement JS, score, validation des réponses.","Session préparatoire.","2025-09-20","2025-10-03","<p><br></p>","DWB-S1","2025-2026"
"20","HTML – Fondamentaux","S2","HTML – Fondamentaux","DWB","Structurer une page HTML, balises courantes, formulaire accessible, mini-site 3 pages.","Page profil Solicode","Page HTML unique avec profil d’apprenant, balises sémantiques et formulaire accessible.","HTML sémantique uniquement, sans CSS/JS.","Mini-site HTML – Présentation personnelle","Mini-site statique (3 pages : accueil, CV, contact).","Navigation interne cohérente, code HTML valide.","Première brique du projet fil rouge (blog).","2025-10-06","2025-10-17","Aucun","DWB-S2","2025-2026"
"21","CSS – Mise en forme & Layout","S3","CSS – Mise en forme & Layout","DWB","Bases du CSS, propriétés fondamentales, Flexbox et Grid, stylisation du blog (projet fil rouge).","Maquette stylisée d’une page d’accueil","Ajout de styles CSS (texte, couleurs, alignement) sur la page HTML produite en S02.","Utilisation de Flexbox et Grid uniquement.","Blog statique – version stylisée","Version stylisée des 3 pages HTML de S02.","CSS personnalisé, pas de bibliothèque externe.","","2025-10-20","2025-10-31","Aucun","DWB-S3","2025-2026"
"22","JavaScript – Premiers pas","S4","JavaScript – Premiers pas","DWB","Fondamentaux JS : variables, fonctions, conditions, boucles, scripts console.","Simulateur de tarifs Solicode","Programme JS demandant un type de formation et affichant un tarif estimé.","Conditions if/else/switch, console.log().","Jeu console – Quiz logique JavaScript","Jeu console interactif posant 5 questions logiques avec score final.","Projet JS console sans DOM.","Prépare la manipulation du DOM (S05).","2025-11-03","2025-11-14","6 novembre – Marche Verte","DWB-S4","2025-2026"
"23","JavaScript – DOM & Événements","S5","JavaScript – DOM & Événements","DWB","Sélectionner/modifier des éléments HTML, comprendre le DOM, gérer les événements, développer une interface interactive.","Check-list interactive","Liste HTML avec cases à cocher et compteur dynamique.","HTML + JS natif, pas de base de données.","To-do list locale – Version simplifiée","Application locale de gestion de tâches avec ajout/suppression/cochage.","Option localStorage.","Introduction à la programmation événementielle.","2025-11-17","2025-11-28","18 novembre – Fête de l’Indépendance","DWB-S5","2025-2026"
"24","JavaScript – API & Données","S6","JavaScript – API & Données","DWB","Interagir avec des APIs via fetch(), traiter des données JSON et les afficher dynamiquement.","Application météo simple","Page HTML interrogeant l’API météo OpenWeatherMap et affichant les données.","fetch() et affichage dynamique dans le DOM.","Catalogue de produits via API","Application front récupérant et affichant une liste de produits avec filtrage.","Données JSON, filtrage ou recherche bonus.","Prépare l'intégration de données réelles dans les projets.","2025-12-01","2025-12-12","Aucun","DWB-S6","2025-2026"
"25","UX/UI & Maquettage","S7","UX/UI & Maquettage","DWB","Principes UX et UI, création de maquettes avec Figma, refonte visuelle d’un blog.","Maquette Figma – Blog Solicode","Maquette statique d’une page d’accueil de blog avec hiérarchie visuelle.","Pas de code, livrable visuel uniquement.","Audit UX & Refonte UI","Analyse UX et création d’une nouvelle maquette UI.","Export PDF ou lien Figma.","Amorce une réflexion critique sur l’ergonomie et le design.","2025-12-15","2025-12-26","Vacances du 27 décembre au 5 janvier","DWB-S7","2025-2026"
"26","Git & Collaboration","S8","Git & Collaboration","DWB","Fonctionnement de Git, utilisation de GitHub, workflow collaboratif en binôme.","Workflow Git en binôme – Mini-projet partagé","Dépôt GitHub, branches, pull/push, résolution de conflits simples.","GitHub, branches, commits clairs.","Organisation de projet en équipe","Mini-projet HTML/JS collaboratif avec workflow Git structuré.","Issues ou fichier TODO pour organisation.","Compétences transversales réutilisables dans tous les projets.","2026-01-06","2026-01-17","Aucun","DWB-S8","2025-2026"
"27","Base de données – Modélisation & SQL","S9","Base de données – Modélisation & SQL","DWB","Principes de modélisation, création de bases SQL, premières requêtes SELECT.","Modèle + Script SQL de base","Production d’un MCD, MLD et script SQL pour un blog simple.","Création de tables, clés primaires/étrangères.","Base de données – Blog Solicode","Base SQL complète pour un blog (tables, contraintes, script d’initialisation).","Script structuré et documenté.","Pose les bases du stockage de données structuré.","2026-01-20","2026-01-31","Vacances du 1er au 8 février","DWB-S9","2025-2026"
"28","SQL – Requêtes & manipulation des données","S10","SQL – Requêtes & manipulation des données","DWB","Requêtes SELECT, WHERE, ORDER BY, jointures, INSERT, UPDATE, DELETE.","Explorateur de données SQL","Écriture de requêtes SQL répondant à des questions métiers.","Fichier .sql et captures de résultats.","Dashboard de lecture SQL (simulation)","Script SQL ou document Markdown simulant des rapports et manipulations.","Documentation claire des requêtes.","Exploitation des bases créées en S09.","2026-02-09","2026-02-20","Aucun","DWB-S10","2025-2026"
"29","PHP – Syntaxe & logique","S11","Découverte de PHP procédural","DWB","Découvrir la syntaxe PHP, variables, fonctions, tableaux et écrire des scripts procéduraux.","Simulateur d’opérations PHP","Formulaire HTML (2 nombres + opération) envoyé en POST et calculé par PHP.","Validation des données, conditions et fonctions.","Mini-app logique – PHP procédural","Petite application PHP (quiz, calculateur) sans base de données.","Pas de POO, 100% local, fichiers PHP + README.","Transition front-end vers back-end.","2026-02-23","2026-03-06","Aucun","DWB-S11","2025-2026"
"30","PHP – Formulaires & navigation","S12","Interaction utilisateur via formulaires et sessions","DWB","Apprendre à traiter des formulaires, utiliser GET/POST, gérer sessions/cookies et navigation dynamique.","Formulaire de contact avec traitement PHP","Page PHP validant un formulaire (nom, email, message), avec affichage conditionnel.","Pas de base de données, POST uniquement.","Espace utilisateur simplifié (sans base de données)","Mini-app avec login, sessions, pseudo en mémoire, déconnexion.","Code PHP procédural, option cookies.","Bases de la gestion d’état côté serveur.","2026-03-09","2026-03-20","Vacances du 21 au 28 mars","DWB-S12","2025-2026"
"31","POO & Accès aux données avec PHP","S13","Structuration du code et interaction avec BDD","DWB","Introduire la POO en PHP, utiliser PDO et réaliser un CRUD complet.","CRUD orienté objet – Articles de blog","Mini-app listant et ajoutant des articles via classe Article et PDO.","Organisation en plusieurs fichiers (Article.php, index.php, create.php).","Manager d’articles – Back-office simplifié","CRUD complet : ajout, modification, suppression d’articles.","Requêtes préparées, code sécurisé.","Approche orientée objet avec base MySQL.","2026-03-30","2026-04-10","Aucun","DWB-S13","2025-2026"
"32","CMS – WordPress","S14","Créer un site web sans coder avec WordPress","DWB","Découvrir WordPress, installer et configurer un site, personnaliser thème et plugins.","Site WordPress minimal – “Portfolio apprenant”","Installation locale de WordPress et création de 3 pages (Accueil, À propos, Contact).","Navigation, personnalisation thème par défaut.","Blog WordPress personnalisé","Blog complet avec 3 articles, catégories, formulaire de contact.","Ajout de plugins utiles, contenu réaliste.","Utilisation d’un CMS professionnel.","2026-04-13","2026-04-24","Aucun","DWB-S14","2025-2026"
"33","Blog – Maquette & Structure HTML","S15","Préparer le blog fil rouge – Structure HTML & design responsive","DWB","Transformer une maquette en code HTML, structurer pages (accueil, article, contact) et initier le responsive.","Structure HTML de la page d’accueil du blog","Structure HTML complète (header, articles récents, footer).","Balises sémantiques, classes claires.","Structure HTML/CSS complète du blog","Développement des pages index.html, article.html, contact.html avec design responsive.","HTML/CSS natif, Flexbox ou Grid.","Lancement du projet fil rouge.","2026-04-27","2026-05-08","Vacances du 9 au 16 mai","DWB-S15","2025-2026"
"34","Blog – Intégration front/back","S16","Relier formulaires et base de données – blog dynamique","DWB","Connecter formulaires à MySQL via PHP, affichage dynamique et sécurisation des requêtes.","Formulaire de création d’article connecté à MySQL","Formulaire PHP insérant un article dans la table posts via PDO.","Validation minimale et confirmation.","Blog dynamique PHP/MySQL – version 1","Blog statique (S15) évolué en version dynamique avec articles en base.","PDO, requêtes préparées, navigation fluide.","Pont entre front statique et back dynamique.","2026-05-18","2026-05-29","Aucun","DWB-S16","2025-2026"
"35","Projet final – Préparation","S17","Planification du blog final et consolidation des compétences","DWB","Préparer le projet final : planification, cahier des charges, base SQL initiale, maquette.","Planification fonctionnelle du projet de blog","Fiche de spécifications détaillant fonctionnalités, arborescence, schéma BDD.","Document .md ou .pdf avec wireframe.","Maquette interactive & plan technique du blog final","Maquette complète, plan technique, routes et scripts à prévoir.","Prêt pour implémentation en S18.","Session de préparation du projet final.","2026-06-01","2026-06-12","Aucun","DWB-S17","2025-2026"
"36","Projet final – Soutenance","S18","Finalisation et présentation du projet de blog","DWB","Finaliser le blog complet, le documenter et le présenter en soutenance.","sans","Pas de prototype (projet finalisé directement).","","Blog final – Version présentée","Projet complet (CRUD articles, pages dynamiques, responsive, base SQL).","README clair, lien GitHub, présentation orale 10-15 min.","Clôture du parcours Solicode Web.","2026-06-15","2026-06-26","Aucun","DWB-S18","2025-2026"
1,SAS - Rappel PHP/POO,S01,2025-09-08,2025-09-19,Aucun
2,Démarrer l’app mobile et afficher un compteur,S02,2025-09-22,2025-10-03,Aucun
3,Mettre en route le site et préparer l’import CSV,S03,2025-10-06,2025-10-17,Aucun
4,Construire le modèle de données Articles/Tags,S04,2025-10-20,2025-10-31,Aucun
5,Gérer les articles et leurs tags,S05,2025-11-03,2025-11-14,Marche Verte (2025-11-06)
6,Publier l’API de lecture des articles (v1),S06,2025-11-17,2025-11-28,Fête de l’Indépendance (2025-11-18)
7,Poser l’UI du blog (styleguide + écrans),S07,2025-12-01,2025-12-12,Aucun
8,Optimiser les listes et le filtrage,S08,2025-12-15,2025-12-26,Vacances d’automne (2025-12-21→2025-12-28)
9,Consommer l’API dans l’app mobile (liste),S09,2025-12-29,2026-01-09,Nouvel An Grégorien (2026-01-01)
10,Cadrer le MVP et lancer le sprint 1,S10,2026-01-12,2026-01-23,Nouvel An Amazigh (2026-01-14)
11,Sécuriser l’API et l’admin par rôles,S11,2026-01-26,2026-02-06,Vacances de mi-année (2026-01-25→2026-02-01)
12,Fiabiliser les écritures et les performances,S12,2026-02-09,2026-02-20,Aucun
13,Écrire côté mobile sans bloquer l’interface,S13,2026-02-23,2026-03-06,Aucun
14,Mettre en ligne le blog en HTTPS,S14,2026-03-09,2026-03-20,Vacances de printemps (2026-03-15→2026-03-22)
15,"Outiller la qualité (tests, PR, logs)",S15,2026-03-23,2026-04-03,Aucun
16,Boucler le périmètre Web du blog,S16,2026-04-06,2026-04-17,Aucun
17,Diagnostiquer et durcir l’accès aux données,S17,2026-04-20,2026-05-01,Fête du Travail (2026-05-01)
18,Finaliser l’app mobile et livrer,S18,2026-05-04,2026-05-15,Vacances de mai (2026-05-03→2026-05-10)
